,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
93,2023-07-06,252.20636804788495,223.85458234731107,272.91917044038087,252.20636804788495,252.20636804788495,-3.339951594059657,-3.339951594059657,-3.339951594059657,-3.339951594059657,-3.339951594059657,-3.339951594059657,0.0,0.0,0.0,248.86641645382528
94,2023-07-07,253.08889607957818,226.02713682465014,274.9952769949626,253.08889607957818,253.08889607957818,-3.1402132779189937,-3.1402132779189937,-3.1402132779189937,-3.1402132779189937,-3.1402132779189937,-3.1402132779189937,0.0,0.0,0.0,249.94868280165917
95,2023-07-10,255.73648017465794,228.57243314014036,278.4557900852675,255.73648017465794,255.73648017465794,-3.5589341468214917,-3.5589341468214917,-3.5589341468214917,-3.5589341468214917,-3.5589341468214917,-3.5589341468214917,0.0,0.0,0.0,252.17754602783646
96,2023-07-11,256.61900820635117,233.9197655914567,280.2046735067039,256.61900820635117,256.61900820635117,-0.7246710724176142,-0.7246710724176142,-0.7246710724176142,-0.7246710724176142,-0.7246710724176142,-0.7246710724176142,0.0,0.0,0.0,255.89433713393356
97,2023-07-12,257.0703158510912,229.04150444694878,279.9723263411683,257.0703158510912,257.0703158510912,-1.680283251990187,-1.680283251990187,-1.680283251990187,-1.680283251990187,-1.680283251990187,-1.680283251990187,0.0,0.0,0.0,255.39003259910103
98,2023-07-13,257.52162349583125,231.32161711138528,277.7132754999089,257.52162349583125,257.52162349583125,-3.3399515940491393,-3.3399515940491393,-3.3399515940491393,-3.3399515940491393,-3.3399515940491393,-3.3399515940491393,0.0,0.0,0.0,254.18167190178212
99,2023-07-14,257.97293114057135,232.22305512243437,278.6626282395195,257.97293114057135,257.97293114057135,-3.1402132779110317,-3.1402132779110317,-3.1402132779110317,-3.1402132779110317,-3.1402132779110317,-3.1402132779110317,0.0,0.0,0.0,254.8327178626603
100,2023-07-17,259.3268540747915,233.15902970936034,278.4409598231796,259.3268540747915,259.3268540747915,-3.5589341468265965,-3.5589341468265965,-3.5589341468265965,-3.5589341468265965,-3.5589341468265965,-3.5589341468265965,0.0,0.0,0.0,255.76791992796493
101,2023-07-18,259.77816171953157,235.12341103008964,283.3139480623394,259.77816171953157,259.77816171953157,-0.7246710724161859,-0.7246710724161859,-0.7246710724161859,-0.7246710724161859,-0.7246710724161859,-0.7246710724161859,0.0,0.0,0.0,259.0534906471154
102,2023-07-19,260.2294693642716,233.14935329454514,281.9188623700158,260.2294693642716,260.2294693642716,-1.6802832519834563,-1.6802832519834563,-1.6802832519834563,-1.6802832519834563,-1.6802832519834563,-1.6802832519834563,0.0,0.0,0.0,258.54918611228817
103,2023-07-20,260.68077700901165,232.62529386833452,279.0021047256965,260.68077700901165,260.68077700901165,-3.33995159405348,-3.33995159405348,-3.33995159405348,-3.33995159405348,-3.33995159405348,-3.33995159405348,0.0,0.0,0.0,257.34082541495815
104,2023-07-21,260.69066499810424,234.37289246047175,280.4498556784758,260.69066499810424,260.69066499810424,-3.140213277913033,-3.140213277913033,-3.140213277913033,-3.140213277913033,-3.140213277913033,-3.140213277913033,0.0,0.0,0.0,257.55045172019123
